config,input_features,variant,model_size_kind,model_state_bytes,cycles_avg,elf_text,elf_data,elf_bss,elf_dec,elf_file_bytes
8x8,3,legacy_c,arena+control,3296,5012326,49388,92,31404,80884,80080
8x8,3,cpp_direct_c_backend,required_memory/model_object,2080,4764077,47836,92,30212,78140,77780
8x8,3,cpp_m55,required_memory/model_object,2080,2288922,42204,112,30176,72492,72088
8x8,3,cpp_generic,required_memory/model_object,1976,2207744,44812,112,30072,74996,74332
8x8,3,rltools_generic,static_state/model_object,1948,3112994,46588,92,30188,76868,78720
16x8,3,legacy_c,arena+control,4928,6466717,49396,92,33804,83292,80080
16x8,3,cpp_direct_c_backend,required_memory/model_object,3712,6311212,47748,92,32612,80452,77812
16x8,3,cpp_m55,required_memory/model_object,3712,4081953,42004,112,32576,74692,72076
16x8,3,cpp_generic,required_memory/model_object,3608,4173960,43580,112,32472,76164,73196
16x8,3,rltools_generic,static_state/model_object,3548,5531368,47212,92,32620,79924,78984
16x16,3,legacy_c,arena+control,7264,8228726,49404,92,37292,86788,80080
16x16,3,cpp_direct_c_backend,required_memory/model_object,6048,8155474,47868,92,36100,84060,77820
16x16,3,cpp_m55,required_memory/model_object,6048,5804167,41684,112,36064,77860,71588
16x16,3,cpp_generic,required_memory/model_object,5944,6775957,45684,112,35960,81756,75204
16x16,3,rltools_generic,static_state/model_object,5916,9828869,47972,92,36140,84204,80260
32x16,3,legacy_c,arena+control,12576,12068699,49404,92,45164,94660,80048
32x16,3,cpp_direct_c_backend,required_memory/model_object,11360,11871360,47780,92,43972,91844,77852
32x16,3,cpp_m55,required_memory/model_object,11360,10367178,41372,112,43936,85420,71448
32x16,3,cpp_generic,required_memory/model_object,11256,12166649,46220,112,43832,90164,75892
32x16,3,rltools_generic,static_state/model_object,11164,25063865,47068,92,44076,91236,78864
32x32,3,legacy_c,arena+control,21344,17274357,49412,92,58284,107788,80112
32x32,3,cpp_direct_c_backend,required_memory/model_object,20128,21239424,47900,92,57092,105084,77852
32x32,3,cpp_m55,required_memory/model_object,20128,16849063,41660,112,57056,98828,71556
32x32,3,cpp_generic,required_memory/model_object,20024,21697745,45852,112,56952,102916,75364
32x32,3,rltools_generic,static_state/model_object,19996,51014318,45884,92,57260,103236,78100
64x32,3,legacy_c,arena+control,40160,31442485,49412,92,86316,135820,80112
64x32,3,cpp_direct_c_backend,required_memory/model_object,38944,37206602,47772,92,85124,132988,77820
64x32,3,cpp_m55,required_memory/model_object,38944,27588405,42716,112,85088,127916,72792
64x32,3,cpp_generic,required_memory/model_object,38840,41759533,47868,112,84984,132964,77524
64x32,3,rltools_generic,static_state/model_object,38684,109223786,48780,92,85420,134292,80640
